feature,label,slope_per_batch,r2,batches_available
feature_1,1,-9967.090937314711,0.6554439055895951,10
feature_1,2,-19.420073058643794,0.0001559768136617512,10
feature_1,3,-1296.4073856864231,0.20327015855977604,10
feature_1,4,-16642.78791301244,0.5581954515105809,10
feature_1,5,-29920.10232230616,0.6359067947572552,10
feature_1,6,-14476.615641655875,0.8644679902127148,7
feature_2,1,-1.7156925430985301,0.30475769993069435,10
feature_2,2,0.013199045459524258,0.001831922717810186,10
feature_2,3,-0.14801171970115173,0.1045207413679694,10
feature_2,4,-1.2562647938024303,0.47384567873115757,10
feature_2,5,-0.13449131710320453,0.02671639200368381,10
feature_2,6,-0.6145975232763727,0.5253436768124329,7
feature_3,1,-2.47249986735703,0.5567999802651917,10
feature_3,2,-0.035367443277002114,0.0066439591281240995,10
feature_3,3,-0.38061494133544893,0.2102880299119606,10
feature_3,4,-4.3866180980313265,0.6082758523024452,10
feature_3,5,-6.386902116244381,0.6351712936042238,10
feature_3,6,-3.7021838927823385,0.8554048059033024,7
feature_17,1,-1451.099524983072,0.3079190524273204,10
feature_17,2,-2005.138731064221,0.47099253683130216,10
feature_17,3,-384.52318816769764,0.1551126139765856,10
feature_17,4,-1088.4127523510217,0.3240341376600533,10
feature_17,5,-526.5065347970236,0.03783689245296362,10
feature_17,6,-153.6366651215253,0.08203876823279466,7
feature_33,1,-369.0858981382273,0.3357099090041885,10
feature_33,2,-205.91846123974287,0.34931363370885027,10
feature_33,3,-208.4909468684027,0.19782388300599363,10
feature_33,4,-250.06543948466987,0.40782883058638064,10
feature_33,5,-63.24828790315787,0.011797852236288486,10
feature_33,6,-11.395438074558342,0.009135296179405672,7
